Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ns/call  ns/call  name    
 22.81      1.98     1.98                             STD_Pre_Proc.omp_fn.3 (hash.c:179 @ 401140)
  6.97      2.59     0.61                             AES_Proc.omp_fn.1 (hash.c:92 @ 400df0)
  5.30      3.05     0.46                             _mm_aesenc_si128 (wmmintrin.h:62 @ 402030)
  4.44      3.43     0.39                             STD_Post_Proc.omp_fn.2 (hash.c:228 @ 400ee0)
  3.92      3.77     0.34                             FIRST_Pre_Proc.omp_fn.0 (hash.c:138 @ 400de1)
  3.57      4.08     0.31                             AES_Proc.omp_fn.1 (hash.c:92 @ 400edb)
  2.65      4.31     0.23                             STD_Post_Proc.omp_fn.2 (hash.c:228 @ 401134)
  2.48      4.53     0.22                             STD_Post_Proc.omp_fn.2 (hash.c:228 @ 400f09)
  2.07      4.71     0.18                             _mm_clmulepi64_si128 (wmmintrin.h:108 @ 4010bc)
  1.79      4.87     0.16                             AES_Proc.omp_fn.1 (hash.c:112 @ 400e50)
  1.79      5.02     0.16                             _mm_clmulepi64_si128 (wmmintrin.h:108 @ 401043)
  1.61      5.16     0.14                             _mm_clmulepi64_si128 (wmmintrin.h:108 @ 4011c3)
  1.56      5.30     0.14                             F64_mult_efficient (field_op.h:42 @ 401030)
  1.56      5.43     0.14                             STD_Post_Proc.omp_fn.2 (hash.c:237 @ 4010b8)
  1.44      5.56     0.13                             STD_Post_Proc.omp_fn.2 (hash.c:235 @ 401040)
  1.15      5.66     0.10                             STD_Pre_Proc.omp_fn.3 (hash.c:179 @ 401182)
  1.15      5.76     0.10                             _mm_clmulepi64_si128 (wmmintrin.h:108 @ 4012c3)
  0.92      5.84     0.08                             AES_Proc.omp_fn.1 (hash.c:98 @ 400e90)
  0.86      5.91     0.08                             AES_Proc.omp_fn.1 (hash.c:104 @ 400eb0)
  0.86      5.99     0.08                             _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402537)
  0.86      6.06     0.08                             _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 40257a)
  0.81      6.13     0.07                             _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402252)
  0.69      6.19     0.06                             AES_Proc (hash.c:92 @ 401b1c)
  0.69      6.25     0.06                             _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 402186)
  0.69      6.31     0.06                             _mm_clmulepi64_si128 (wmmintrin.h:108 @ 400f43)
  0.69      6.37     0.06                             _mm_clmulepi64_si128 (wmmintrin.h:108 @ 400fcb)
  0.69      6.43     0.06                             _mm_loadu_si128 (emmintrin.h:685 @ 40234d)
  0.58      6.48     0.05                             STD_Pre_Proc.omp_fn.3 (hash.c:179 @ 40116f)
  0.58      6.53     0.05                             _mm_aeskeygenassist_si128 (wmmintrin.h:88 @ 40221f)
  0.58      6.58     0.05                             _mm_clmulepi64_si128 (wmmintrin.h:108 @ 40124e)
  0.52      6.63     0.05                             STD_Post_Proc.omp_fn.2 (hash.c:231 @ 400f40)
  0.52      6.67     0.05                             STD_Post_Proc.omp_fn.2 (hash.c:228 @ 400faf)
